Local time in Braganca,temp,RH,wind,rain,month,day,class
2017-10-19 13:00:00,11.3,86.0,2.0,0.0,10,4,0
2018-07-19 15:00:00,26.5,43.0,3.0,0.0,7,4,0
2018-10-30 10:00:00,5.8,97.0,2.0,0.1,10,2,0
2016-09-06 22:00:00,24.9,47.0,1.0,0.0,9,2,0
2018-11-21 18:00:00,5.1,93.0,2.0,5.0,11,3,0
2018-04-12 17:00:00,6.4,92.0,4.0,1.0,4,4,0
2018-06-17 14:00:00,27.7,35.0,1.0,0.0,6,7,0
2016-01-17 08:00:00,-2.2,96.0,0.0,0.0,1,7,0
2017-07-15 02:00:00,19.0,40.0,3.0,0.0,7,6,0
2018-10-01 23:00:00,12.0,58.0,2.0,0.0,10,1,0
2017-01-29 12:00:00,7.1,99.0,0.0,6.0,1,7,0
2016-09-14 21:00:00,10.5,83.0,4.0,2.0,9,3,0
2017-12-31 09:00:00,8.9,88.0,5.0,0.0,12,7,0
2017-10-16 04:00:00,14.6,54.0,1.0,0.0,10,1,0
2016-03-07 06:00:00,3.3,72.0,8.0,2.0,3,1,0
2018-08-30 00:00:00,18.4,67.0,2.0,0.0,8,4,0
2017-10-06 11:00:00,22.0,43.0,2.0,0.0,10,5,0
2018-03-02 11:00:00,0.4,97.0,2.0,2.0,3,5,0
2016-08-04 14:00:00,26.5,48.0,5.0,0.0,8,4,0
2016-12-11 20:00:00,7.4,93.0,2.0,0.0,12,7,0
2016-09-12 13:00:00,31.3,26.0,4.0,0.0,9,1,0
2016-02-15 08:00:00,3.2,72.0,6.0,0.0,2,1,0
2018-04-06 02:00:00,8.0,76.0,0.0,0.0,4,5,0
2018-09-26 13:00:00,27.5,25.0,2.0,0.0,9,3,0
2016-06-05 23:00:00,14.7,69.0,1.0,0.0,6,7,0
2016-01-15 20:00:00,3.5,70.0,0.0,0.0,1,5,0
2016-07-04 03:00:00,19.8,55.0,2.0,0.0,7,1,0
2017-05-11 01:00:00,9.2,98.0,3.0,0.2,5,4,0
2016-03-05 16:00:00,7.3,67.0,3.0,0.0,3,6,0
2018-12-30 17:00:00,14.1,30.0,1.0,0.0,12,7,0
2017-02-14 04:00:00,3.2,97.0,0.0,0.7,2,2,0
2016-09-20 05:00:00,11.0,78.0,0.0,0.0,9,2,0
2017-12-31 14:00:00,7.0,87.0,5.0,0.4,12,7,0
2017-07-05 04:00:00,15.9,73.0,0.0,0.0,7,3,0
2017-03-22 03:00:00,4.7,79.0,3.0,0.0,3,3,0
2018-12-21 01:00:00,8.6,84.0,1.0,0.0,12,5,0
2017-11-06 02:00:00,4.0,86.0,1.0,0.0,11,1,0
2018-05-25 04:00:00,11.1,94.0,1.0,0.0,5,5,0
2017-07-26 22:00:00,23.6,36.0,4.0,0.0,7,3,0
2016-10-16 15:00:00,15.4,76.0,3.0,0.0,10,7,0
2017-10-31 12:00:00,13.7,49.0,2.0,0.0,10,2,0
2018-04-22 01:00:00,9.5,90.0,1.0,0.0,4,7,0
2017-11-10 03:00:00,0.3,94.0,2.0,0.0,11,5,0
2017-09-22 19:00:00,21.5,38.0,2.0,0.0,9,5,0
2017-11-19 18:00:00,12.2,34.0,0.0,0.0,11,7,0
2017-07-02 10:00:00,20.4,40.0,1.0,0.0,7,7,0
2017-09-03 02:00:00,15.7,52.0,1.0,0.0,9,7,0
2017-04-15 21:00:00,15.8,49.0,2.0,0.0,4,6,0
2018-11-16 09:00:00,9.9,88.0,1.0,0.0,11,5,0
2017-03-18 17:00:00,21.8,28.0,2.0,0.0,3,6,0
2018-10-03 07:00:00,14.4,45.0,0.0,0.0,10,3,0
2017-08-28 14:00:00,28.1,28.0,2.0,0.0,8,1,0
2016-06-19 14:00:00,25.0,39.0,2.0,0.0,6,7,0
2016-05-31 03:00:00,6.7,92.0,1.0,0.0,5,2,0
2018-12-10 02:00:00,3.1,96.0,0.0,0.0,12,1,0
